Designator,Footprint,Quantity,Value,LCSC Part #
C1,805,1,100uF,C49678 
"C2, C3, C4, C6",603,4,100nF,C6119867 
C5,603,1,47nF,C107093 
D1,805,1,LED,C965819 
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_PowerOnly_24P,C2894897 
"J2, J3",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04,C2718488 
"J4, J5",PinSocket_1x01_P2.54mm_Vertical,2,Conn_01x01_Pin,
"J6, J7",PHOENIX_1990009,2,1990009,
"J8, J9",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01_Pin,
R1,2512,1,0.1,C2903476 
R10,1206,1,1,C1857715 
"R11, R14, R8, R9",805,4,4.7k,C17673
R12,805,1,2.2k,C114561
"R13, R15",805,2,20k,C4328 
"R16, R3, R4",805,3,10k,C17414
"R2, R5",805,2,100k,C96346 
"R6, R7",805,2,5.1k,C27834 
U1,TSSOP-8_4.4x3mm_P0.65mm,1,ATtiny45V-10X,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TLV9062xD,C398355 
